dispute_id,reason_code,reason_code_label,card_network,dispute_amount,currency,transaction_date,days_to_dispute,product_category,shipping_method,delivery_confirmed,has_delivery_proof,ip_geolocation_match,avs_cvv_match,customer_account_age_days,customer_prior_disputes,customer_prior_orders,has_customer_correspondence,has_3ds_authentication,evidence_needed,outcome
DSP-001654,13.3,Not as Described,Visa,172.31,INR,2026-08-29,6,sports,standard,False,False,True,both_match,47,0,3,False,True,"['product_description', 'customer_comms', 'return_policy']",merchant_lost
DSP-002618,4860,Credit Not Processed (MC),Mastercard,3610.36,INR,2026-08-29,13,books,same_day,True,True,True,both_match,81,0,8,True,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-004993,4863,Cardholder Does Not Recognize,Mastercard,605.22,INR,2026-08-29,31,fashion,same_day,True,True,False,neither,144,1,1,False,False,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_lost
DSP-000897,4863,Cardholder Does Not Recognize,Mastercard,4081.67,INR,2026-08-29,68,automotive,same_day,False,False,False,both_match,74,1,3,False,False,"['billing_descriptor', 'customer_comms', 'ip_match']",merchant_won
DSP-000687,13.1,Merchandise Not Received,Visa,726.64,INR,2026-08-29,8,automotive,standard,True,True,True,cvv_only,56,0,5,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_lost
DSP-001187,4855,Goods or Services Not Provided,Mastercard,2893.23,INR,2026-08-29,1,beauty,standard,True,True,True,both_match,156,0,3,True,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-003536,4855,Goods or Services Not Provided,Mastercard,1339.22,INR,2026-08-29,4,health,standard,True,True,True,both_match,663,1,11,True,True,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-004445,4855,Goods or Services Not Provided,Mastercard,2839.9,INR,2026-08-29,3,books,pickup,True,True,True,both_match,70,1,2,True,False,"['shipping_confirmation', 'delivery_proof', 'signed_receipt']",merchant_won
DSP-000965,13.1,Merchandise Not Received,Visa,1428.62,INR,2026-08-29,32,toys,express,False,False,True,both_match,559,0,6,True,True,"['shipping_confirmation', 'delivery_proof', 'tracking_url']",merchant_won
DSP-000176,13.3,Not as Described,Visa,1355.17,INR,2026-08-29,41,home,same_day,False,False,True,both_match,35,0,8,True,False,"['product_description', 'customer_comms', 'return_policy']",merchant_won
DSP-004327,4837,No Cardholder Authorization,Mastercard,1898.43,INR,2026-08-29,36,grocery,same_day,True,False,False,neither,177,2,3,False,True,"['3ds_authentication', 'avs_cvv', 'ip_match']",merchant_won
DSP-001958,13.6,Credit Not Processed,Visa,1850.92,INR,2026-08-29,12,books,same_day,True,True,True,both_match,286,0,0,True,False,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
DSP-003136,4860,Credit Not Processed (MC),Mastercard,1784.8,INR,2026-08-29,40,sports,pickup,True,False,True,both_match,94,0,4,False,True,"['refund_receipt', 'refund_arn', 'policy_terms']",merchant_won
